product_code,division,category,product,variant
TENN6E46CF,Tennis,Tennis Racket,TX ControlMax Tennis Racket,Beginner
TENN6AD4AC,Tennis,Tennis Racket,MX SpinForce Tennis Racket,Grip 3
TENNDCCD5A,Tennis,Tennis Racket,MX SpinForce Tennis Racket,300g
TENN514228,Tennis,Tennis Racket,TX ControlMax Tennis Racket,Grip 2
TENN0CFFE7,Tennis,Tennis Racket,MX SpinForce Tennis Racket,Grip 1
TENN391CEF,Tennis,Tennis Racket,TX ControlMax Tennis Racket,Grip 1
TENN151AB9,Tennis,Tennis Racket,TX ControlMax Tennis Racket,Intermediate
TENN3F4E67,Tennis,Tennis Racket,TX ControlMax Tennis Racket,Grip 3
TENNF49374,Tennis,Tennis Racket,MX SpinForce Tennis Racket,285g
TENN0B614F,Tennis,Tennis Racket,MX SpinForce Tennis Racket,270g
TENN4AEBA0,Tennis,Tennis Racket,MX SpinForce Tennis Racket,Power Balance
TENN506041,Tennis,Tennis Racket,TX ControlMax Tennis Racket,Advanced
TENN6C0BC2,Tennis,Tennis Racket,MX SpinForce Tennis Racket,All-Rounder
VOLLF0E251,Volleyball,Knee Pads,PX SoftShield Knee Pads,S
VOLLD0506F,Volleyball,Volleyball Shoes,RX Volley Indoor Shoes,UK 8
VOLLC5F036,Volleyball,Volleyball,VX SoftTouch Volleyball,Size 4
VOLLA6AAB1,Volleyball,Volleyball Shoes,RX Volley Indoor Shoes,UK 9
VOLLF5D4E6,Volleyball,Knee Pads,PX SoftShield Knee Pads,M
VOLLEEC6A4,Volleyball,Knee Pads,PX SoftShield Knee Pads,L
VOLL56AE91,Volleyball,Volleyball,VX SoftTouch Volleyball,Size 5
VOLLDDFCD0,Volleyball,Volleyball Accessories,NX Pro Volleyball Pump,Compact
VOLL4B8018,Volleyball,Volleyball Net,MX Outdoor Volleyball Net,Standard
WLFT9CBF85,Weight Lifting,Weight Plates,WL Rubber Weight Plate,5 kg
WLFTB0B8BE,Weight Lifting,Weight Bars,WL Steel Barbell,Olympic 7 ft
WLFT5DC367,Weight Lifting,Dumbbells,WL Hex Dumbbell,7.5 kg
WLFT1704AC,Weight Lifting,Kettlebells,WL Power Kettlebell,16 kg
WLFT053057,Weight Lifting,Dumbbells,WL Hex Dumbbell,2 kg
WLFT79618A,Weight Lifting,Weight Plates,WL Rubber Weight Plate,15 kg
WLFTAE945F,Weight Lifting,Weight Plates,WL Rubber Weight Plate,10 kg
WLFT4A4E9C,Weight Lifting,Kettlebells,WL Power Kettlebell,6 kg
WLFT6CA36D,Weight Lifting,Kettlebells,WL Power Kettlebell,8 kg
WLFTB7DF2B,Weight Lifting,Weight Bars,WL Steel Barbell,Curl Bar
WLFT52B261,Weight Lifting,Dumbbells,WL Hex Dumbbell,12.5 kg
WLFT296A48,Weight Lifting,Kettlebells,WL Power Kettlebell,4 kg
WLFT7AD84A,Weight Lifting,Dumbbells,WL Hex Dumbbell,5 kg
WLFTD84A88,Weight Lifting,Kettlebells,WL Power Kettlebell,12 kg
WLFTAC3A34,Weight Lifting,Weight Bars,WL Steel Barbell,Hex Grip Bar
WLFT1B93D6,Weight Lifting,Weight Plates,WL Rubber Weight Plate,2.5 kg
WLFT69B35E,Weight Lifting,Dumbbells,WL Hex Dumbbell,10 kg
WLFTF2E540,Weight Lifting,Weight Bars,WL Steel Barbell,Trap Bar
WLFT14DED0,Weight Lifting,Weight Plates,WL Rubber Weight Plate,20 kg
YOGA19401E,Yoga,Meditation Cushion,YX Zen Cushion,Round
YOGACE3F89,Yoga,Yoga Mat,YX Comfort Yoga Mat,4mm
YOGA4680D3,Yoga,Yoga Strap,PX Flex Yoga Strap,2 m
YOGA1B22A2,Yoga,Resistance Bands,PX Yoga Resistance Band,Heavy
YOGA6FA844,Yoga,Resistance Bands,PX Yoga Resistance Band,Light
YOGAA7E602,Yoga,Yoga Block,AX Foam Yoga Block,Standard
YOGA46952D,Yoga,Yoga Wheel,NX Balance Yoga Wheel,33 cm
YOGA80ED66,Yoga,Meditation Cushion,YX Zen Cushion,Square
YOGA465ABE,Yoga,Yoga Mat,YX Comfort Yoga Mat,6mm
